,YEAR,DAY_OF_WEEK,DAY_OF_WEEK_STR,FL_DATE,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_Name,ORIGIN_IATA,ORIGIN_ICAO,ORIGIN_CITY_MARKET_ID,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_Latitude,ORIGIN_Longitude,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_Name,DEST_IATA,DEST_ICAO,DEST_CITY_MARKET_ID,DEST_CITY_NAME,DEST_STATE_ABR,DEST_Latitude,DEST_Longitude,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,ORIGIN_STATION,ORIGIN_DATE,ORIGIN_AWND,ORIGIN_PGTM,ORIGIN_PRCP,ORIGIN_SNOW,ORIGIN_SNWD,ORIGIN_TAVG,ORIGIN_TMAX,ORIGIN_TMIN,ORIGIN_WDF2,ORIGIN_WDF5,ORIGIN_WSF2,ORIGIN_WSF5,ORIGIN_WT01,ORIGIN_WT02,ORIGIN_WT03,ORIGIN_WT04,ORIGIN_WT05,ORIGIN_WT06,ORIGIN_WT07,ORIGIN_WT08,ORIGIN_WT09,ORIGIN_WESD,ORIGIN_WT10,ORIGIN_PSUN,ORIGIN_TSUN,ORIGIN_SN32,ORIGIN_SX32,ORIGIN_TOBS,ORIGIN_WT11,DEST_STATION,DEST_DATE,DEST_AWND,DEST_PGTM,DEST_PRCP,DEST_SNOW,DEST_SNWD,DEST_TAVG,DEST_TMAX,DEST_TMIN,DEST_WDF2,DEST_WDF5,DEST_WSF2,DEST_WSF5,DEST_WT01,DEST_WT02,DEST_WT03,DEST_WT04,DEST_WT05,DEST_WT06,DEST_WT07,DEST_WT08,DEST_WT09,DEST_WESD,DEST_WT10,DEST_PSUN,DEST_TSUN,DEST_SN32,DEST_SX32,DEST_TOBS,DEST_WT11
67984,2019,5,Fri,2019-01-18 00:00:00 UTC,15304,1530402,Tampa International,TPA,KTPA,33195,"Tampa, FL",FL,27.97,-82.53,15016,1501606,St Louis Lambert International,STL,KSTL,31123,"St. Louis, MO",MO,38.74,-90.37,1010,-10,0,0,-2,0,0,USW00012842,2019-01-18 00:00:00 UTC,3.58,,0,0,0,59,72,50,250,260,8.9,12.1,,,,,,,,,,,,,,,,,,USW00013994,2019-01-18 00:00:00 UTC,10.07,,0.19,0,0,,37,34,110,110,23,29.1,1,,,,,,,,,,,,,,,,
295412,2019,2,Tue,2019-01-08 00:00:00 UTC,11618,1161802,Newark Liberty International,EWR,KEWR,31703,"Newark, NJ",NJ,40.69,-74.16,14869,1486903,Salt Lake City International,SLC,KSLC,34614,"Salt Lake City, UT",UT,40.78,-111.97,2134,13,13,0,18,18,1,USW00014734,2019-01-08 00:00:00 UTC,2.46,,0.15,0,0,37,44,34,270,280,15,19,1,,1,,,,,,,,,,,,,,,USW00024127,2019-01-08 00:00:00 UTC,2.68,,0,0,2,33,39,27,290,300,10.1,11,1,,,,,,,1,,,,,,,,,
10645,2019,2,Tue,2019-01-15 00:00:00 UTC,14107,1410702,Phoenix Sky Harbor International,PHX,KPHX,30466,"Phoenix, AZ",AZ,33.43,-112.01,14831,1483106,Norman Y. Mineta San Jose International,SJC,KSJC,32457,"San Jose, CA",CA,37.36,-121.92,1516,-11,0,0,-8,0,0,USW00023183,2019-01-15 00:00:00 UTC,5.82,,0.12,,,60,65,53,180,190,17,23,1,,,,,,,1,,,,,,,,,,USW00023293,2019-01-15 00:00:00 UTC,13.42,,0.21,,,,57,51,140,140,25.1,32,1,,,,,,,,,,,,,,,,
88610,2019,7,Sun,2019-01-13 00:00:00 UTC,14107,1410702,Phoenix Sky Harbor International,PHX,KPHX,30466,"Phoenix, AZ",AZ,33.43,-112.01,12892,1289208,Los Angeles International,LAX,KLAX,32575,"Los Angeles, CA",CA,33.94,-118.4,1015,-5,0,0,-5,0,0,USW00023183,2019-01-13 00:00:00 UTC,2.01,,0.01,,,55,63,47,280,290,10.1,12.1,1,,,,,,,,,,,,,,,,,USW00023174,2019-01-13 00:00:00 UTC,4.92,,0,,,54,61,46,60,340,10.1,13,,,,,,,,,,,,,,,,,
188642,2019,5,Fri,2019-01-25 00:00:00 UTC,11278,1127805,Ronald Reagan Washington National,DCA,KDCA,30852,"Washington, DC",DC,38.85,-77.03,13871,1387102,Eppley Airfield,OMA,KOMA,33316,"Omaha, NE",NE,41.3,-95.89,1709,-26,0,0,-5,0,0,USW00093738,2019-01-25 00:00:00 UTC,8.28,,0,0,0,34,40,23,290,290,23,31.1,,,,,,,,,,,,,,,,,,USW00014935,2019-01-25 00:00:00 UTC,12.3,,0,0,0,21,40,7,320,300,21.9,32,,,,,,,,,,,,,,,,,
278286,2019,7,Sun,2019-01-20 00:00:00 UTC,12173,1217305,Daniel K Inouye International,HNL,PHNL,32134,"Honolulu, HI",HI,21.3,-157.9,14747,1474703,Seattle Tacoma International,SEA,KSEA,30559,"Seattle, WA",WA,47.44,-122.3,2205,9,9,0,-2,0,0,USW00023174,2019-01-20 00:00:00 UTC,9.17,,0,,,62,70,54,270,270,30,35.1,,,,,,,,,,,,,,,,,,USW00024233,2019-01-20 00:00:00 UTC,7.38,,0,0,0,44,47,38,350,350,16.1,21,,,,,,,,,,,,,,,,,
306978,2019,5,Fri,2019-01-25 00:00:00 UTC,11953,1195302,Gainesville Regional,GNV,KGNV,31953,"Gainesville, FL",FL,29.69,-82.27,10397,1039707,Hartsfield Jackson Atlanta International,ATL,KATL,30397,"Atlanta, GA",GA,33.63,-84.42,843,-9,0,0,-7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USW00013874,2019-01-25 00:00:00 UTC,10.07,,0,0,0,38,48,32,320,320,18.1,28,,,,,,,,,,,,,,,,,
296556,2019,3,Wed,2019-01-09 00:00:00 UTC,12953,1295304,La Guardia,LGA,KLGA,31703,"New York, NY",NY,40.77,-73.87,13204,1320402,Orlando International,MCO,KMCO,31454,"Orlando, FL",FL,28.42,-81.3,1129,17,17,1,-3,0,0,USW00014732,2019-01-09 00:00:00 UTC,20.8,,0.07,0,0,44,46,35,300,310,33.1,42.9,1,,,,,,,,,,,,,,,,,USW00012815,2019-01-09 00:00:00 UTC,8.95,,0,0,0,65,73,53,320,320,17,21,,,,,,,,,,,,,,,,,
458255,2019,6,Sat,2019-01-12 00:00:00 UTC,11292,1129202,Denver International,DEN,KDEN,30325,"Denver, CO",CO,39.86,-104.67,11298,1129806,Dallas Fort Worth International,DFW,KDFW,30194,"Dallas/Fort Worth, TX",TX,32.89,-97.03,2236,-21,0,0,-11,0,0,USW00003017,2019-01-12 00:00:00 UTC,6.71,,0.03,0.3,1.2,32,35,17,350,350,17,21.9,1,,,,,,,,,,,,,,,,,USW00013961,2019-01-12 00:00:00 UTC,14.54,,0,,,,54,40,290,320,23.9,34,,,,,,,,,,,,,,,,,
304844,2019,4,Thu,2019-01-24 00:00:00 UTC,11292,1129202,Denver International,DEN,KDEN,30325,"Denver, CO",CO,39.86,-104.67,11433,1143302,Detroit Metropolitan Wayne County,DTW,KDTW,31295,"Detroit, MI",MI,42.21,-83.35,1728,27,27,1,11,11,0,USW00003017,2019-01-24 00:00:00 UTC,10.07,,0.11,1,0,25,29,12,20,10,23.9,31.1,1,1,,,,,,1,,,,,,,,,,USW00094847,2019-01-24 00:00:00 UTC,13.65,,0,0.1,1.2,30,31,23,240,250,23,30,,,,,,,,,,,,,,,,,
